VERSION;7.2.1.201802190531
DATE;11/05/2018 18:10
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0006;NQDS QW WELL PROD5;3.205371514883197E-12
1;base0006;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0006;NQDS BHP WELL PROD5;-2.152466244818212
1;base0006;NQDS QL WELL PROD6;1.22369405003963E-10
1;base0006;NQDS QW WELL PROD6;-65.18374932493477
1;base0006;NQDS QO WELL PROD6;2.560190266413769
1;base0006;NQDS BHP WELL PROD6;-0.3845080347512067
1;base0006;NQDS QL WELL PROD7;-3.349571747300885E-10
1;base0006;NQDS QW WELL PROD7;5.650535009578965
1;base0006;NQDS QO WELL PROD7;-0.6370817622694916
1;base0006;NQDS BHP WELL PROD7;-0.5007084076082745
1;base0006;NQDS QL WELL PROD8;-5.831049832010555E-10
1;base0006;NQDS QW WELL PROD8;25.67305682334644
1;base0006;NQDS QO WELL PROD8;-0.4428733552914739
1;base0006;NQDS BHP WELL PROD8;-3.079745096333283
1;base0006;NQDS QL WELL PROD9;-3.0530317081108E-10
1;base0006;NQDS QW WELL PROD9;-5.757509760940458
1;base0006;NQDS QO WELL PROD9;0.1352992845585113
1;base0006;NQDS BHP WELL PROD9;0.3087687888475892
1;base0006;NQDS QL WELL PROD10;-1.538457720054849E-10
1;base0006;NQDS QW WELL PROD10;-1.821310958807958
1;base0006;NQDS QO WELL PROD10;0.0446266081140841
1;base0006;NQDS BHP WELL PROD10;-0.3736342351562347
1;base0006;NQDS QWI WELL INJ1;0.0
1;base0006;NQDS BHP WELL INJ1;0.2177912900184841
1;base0006;NQDS QWI WELL INJ2;0.0
1;base0006;NQDS BHP WELL INJ2;-0.254386782192891
1;base0006;NQDS QWI WELL INJ3;0.0
1;base0006;NQDS BHP WELL INJ3;-0.2981111181525254
1;base0006;NQDS QWI WELL INJ4;0.0
1;base0006;NQDS BHP WELL INJ4;-0.5369669830539686
1;base0006;NQDS QWI WELL INJ5;0.0
1;base0006;NQDS BHP WELL INJ5;-0.2510535110561394
1;base0006;NQDS QWI WELL INJ6;0.0
1;base0006;NQDS BHP WELL INJ6;-0.2573452039183885
1;base0006;NQDS QWI WELL INJ7;0.0
1;base0006;NQDS BHP WELL INJ7;-1.269073949176863
1;base0006;NQDS QWI WELL INJ8;0.0
1;base0006;NQDS BHP WELL INJ8;-0.189338692486934
1;base0006;NQDS QWI WELL INJ9;0.0
1;base0006;NQDS BHP WELL INJ9;-0.3730169991291062
1;base0007;NQDS QL WELL WILDCAT;1.899259976720427E-10
1;base0007;NQDS QW WELL WILDCAT;-2.896694144968163
1;base0007;NQDS QO WELL WILDCAT;0.07990965169035309
1;base0007;NQDS BHP WELL WILDCAT;-0.5392105522230686
1;base0007;NQDS QL WELL PROD1;3.753228583811287E-10
1;base0007;NQDS QW WELL PROD1;-58.51453599952307
1;base0007;NQDS QO WELL PROD1;5.426400146709381
1;base0007;NQDS BHP WELL PROD1;-0.6712843755381845
1;base0007;NQDS QL WELL PROD2;2.641189396097887E-10
1;base0007;NQDS QW WELL PROD2;-69.93444124336278
1;base0007;NQDS QO WELL PROD2;15.75939105743044
1;base0007;NQDS BHP WELL PROD2;-0.1079569939163458
1;base0007;NQDS QL WELL PROD3;1.010163527840057E-14
1;base0007;NQDS QW WELL PROD3;2.845218221814847E-13
1;base0007;NQDS QO WELL PROD3;0.0
1;base0007;NQDS BHP WELL PROD3;-0.3084913545714081
1;base0007;NQDS QL WELL PROD4;-2.684435479271492E-10
1;base0007;NQDS QW WELL PROD4;-12.47541848010105
1;base0007;NQDS QO WELL PROD4;0.9469629548652044
1;base0007;NQDS BHP WELL PROD4;-0.3666575913771303
1;base0007;NQDS QL WELL PROD5;6.689299790278859E-13
1;base0007;NQDS QW WELL PROD5;2.206038769772386E-11
